-	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gewünschte Seite wurde nicht gefunden.	
+	04: uncapturing	CapturedButtonsMMF3	## How do I prevent Mac Mouse Fix from capturing a mouse button?\n\nTo prevent Mac Mouse Fix from capturing a mouse button, delete all entries for that mouse button from the 'Buttons' tab.\nYou can delete an entry in the 'Buttons' tab by clicking the '-' button on the left.\n\nFor example, in the following image, you could prevent **'Button 4'** from being captured by clicking the two highlighted **'-'** buttons:\n\n{screenshot_2}	## Wie verhindere ich, dass Mac Mouse Fix eine Maustaste erfasst?\n\nUm zu verhindern, dass Mac Mouse Fix eine Maustaste erfasst, lösche alle Einträge für diese Maustaste aus dem „Tasten"-Tab.\nDu kannst einen Eintrag im „Tasten"-Tab löschen, indem du auf den „-"-Button links klickst.\n\nZum Beispiel könntest du im folgenden Bild verhindern, dass **„Taste 4"** erfasst wird, indem du auf die zwei hervorgehobenen **„-"**-Buttons klickst:\n\n{screenshot_2}	{screenshot_2} will be replaced by a screenshot of the 'Buttons' tab where 'Button 4' and two '-' buttons are highlighted.\n\nMatch the terminology seen on the 'Buttons' tab.\n\nSearch for these:\n- ‘Toolbar > Buttons Tab Button' (Title of the ‘Buttons’ tab) \n- ‘trigger.y.group-row.button-name.numbered' (‘Button 4’ string)
-	05: restoring	CapturedButtonsMMF3	## How can I restore the original functionality of a button?\n\nTo make a button behave like it did before you installed Mac Mouse Fix, you can do the following:\n\n1. You can **prevent the button from being captured** – as described above.\n\n2. You can simply **turn off Mac Mouse Fix** – then no buttons will be captured.\n\n3. You can **assign specific actions to the button in Mac Mouse Fix** – this way you can restore certain functions, *even while the button is being captured*:	## Wie kann ich die ursprüngliche Funktion einer Taste wiederherstellen?\n\nDamit sich eine Taste wieder so verhält, wie bevor du Mac Mouse Fix installiert hast, kannst du:\n\n1. Du kannst **verhindern, dass die Taste abgefangen wird** – so wie oben beschrieben.\n\n2. Du kannst **Mac Mouse Fix** auch einfach **ausschalten** – dann werden keinerlei Tasten mehr abgefangen.\n\n3. Du kannst **der Taste bestimmte Aktionen in Mac Mouse Fix zuweisen** – so kannst du bestimmte Funktionen wiederherstellen, *auch während die Taste abgefangen wird*:	
+	05: restoring	CapturedButtonsMMF3	## How can I restore the original functionality of a button?\n\nTo make a button behave like it did before you installed Mac Mouse Fix, you can do the following:\n\n1. You can **prevent the button from being captured** – as described above.\n\n2. You can simply **turn off Mac Mouse Fix** – then no buttons will be captured.\n\n3. You can **assign specific actions to the button in Mac Mouse Fix** – this way you can restore certain functions, *even while the button is being captured*:	## Wie kann ich die ursprüngliche Funktionalität einer Taste wiederherstellen?\n\nUm eine Taste so zu verhalten zu lassen wie vor der Installation von Mac Mouse Fix, kannst du Folgendes tun:\n\n1. Du kannst **verhindern, dass die Taste erfasst wird** – wie oben beschrieben.\n\n2. Du kannst einfach **Mac Mouse Fix ausschalten** – dann werden keine Tasten erfasst.\n\n3. Du kannst **der Taste bestimmte Aktionen in Mac Mouse Fix zuweisen** – so kannst du bestimmte Funktionen wiederherstellen, *auch wenn die Taste erfasst wird*:	
-	10: restoring.row1.function	CapturedButtonsMMF3	Open links in the browser in a new tab	Links im Browser in einem neuen Tab öffnen	
+	10: restoring.row1.function	CapturedButtonsMMF3	Open links in the browser in a new tab	Links im Browser in neuem Tab öffnen	
-	11: restoring.row1.action	CapturedButtonsMMF3	'Middle Click'<br>(Can be assigned to **clicking** a button)	'Mittelklick'<br>(Kann dem *klicken* einer Taste zugewiesen werden)	This is a cell in the 3rd column of the table.\n\n'Middle Click' should match the text that is seen in MMF when you click one of the pop-up buttons on the 'Buttons' tab.\n\n(See effect.click.middle)
+	11: restoring.row1.action	CapturedButtonsMMF3	'Middle Click'<br>(Can be assigned to **clicking** a button)	„Mittelklick"<br>(Kann dem **Klicken** einer Taste zugewiesen werden)	This is a cell in the 3rd column of the table.\n\n'Middle Click' should match the text that is seen in MMF when you click one of the pop-up buttons on the 'Buttons' tab.\n\n(See effect.click.middle)
-	14: restoring.row2.action	CapturedButtonsMMF3	'Middle Click'<br>(Can be assigned to **clicking** a button)	'Mittelklick'<br>(Kann dem *klicken* einer Taste zugewiesen werden)	'Middle Click' should match the text seen in the pop-up buttons on the  'Buttons' Tab in MMF. \n\n(See effect.click.middle)
+	14: restoring.row2.action	CapturedButtonsMMF3	'Middle Click'<br>(Can be assigned to **clicking** a button)	„Mittelklick"<br>(Kann dem **Klicken** einer Taste zugewiesen werden)	'Middle Click' should match the text seen in the pop-up buttons on the  'Buttons' Tab in MMF. \n\n(See effect.click.middle)
-	16: restoring.row3.function	CapturedButtonsMMF3	Go back / forward in Chrome and other apps	Zurück / Vorwärts gehen in Chrome und anderen Apps	Consider putting 'back' *before* 'forward' here even if it sounds a bit unnatural in your language – That way it better matches 'Button 4' and 'Button 5' in the previous column (restoring.row3.default). \n\n(*Button 4 goes back* and *Button 5 goes forward*)
+	16: restoring.row3.function	CapturedButtonsMMF3	Go back / forward in Chrome and other apps	Zurück / vorwärts in Chrome und anderen Apps	Consider putting 'back' *before* 'forward' here even if it sounds a bit unnatural in your language – That way it better matches 'Button 4' and 'Button 5' in the previous column (restoring.row3.default). \n\n(*Button 4 goes back* and *Button 5 goes forward*)
-	17: restoring.row3.action	CapturedButtonsMMF3	'Back' / 'Forward'<br>(Can be assigned to **clicking** a button)	'Zurück' / 'Vorwärts'<br>(Kann dem *klicken* einer Taste zugewiesen werden)	'Back' and 'Forward' should match the text seen in the pop-up buttons on the  'Buttons' Tab in MMF.\n\n(See effect.back)
+	17: restoring.row3.action	CapturedButtonsMMF3	'Back' / 'Forward'<br>(Can be assigned to **clicking** a button)	„Zurück" / „Vorwärts"<br>(Kann dem **Klicken** einer Taste zugewiesen werden)	'Back' and 'Forward' should match the text seen in the pop-up buttons on the  'Buttons' Tab in MMF.\n\n(See effect.back)
-	20: restoring.row4.action	CapturedButtonsMMF3	'Scroll & Navigate'<br>(Can be assigned to **clicking and dragging** a button)	'Scrollen & Navigieren'<br>(Kann dem *klicken und ziehen* einer Taste zugewiesen werden)	'Scroll & Navigate' should match the text seen in the pop-up buttons on the  'Buttons' Tab in MMF.\n\n(See drag-effect.scroll-swipe)
+	20: restoring.row4.action	CapturedButtonsMMF3	'Scroll & Navigate'<br>(Can be assigned to **clicking and dragging** a button)	„Scrollen & Navigieren"<br>(Kann dem **Klicken und Ziehen** einer Taste zugewiesen werden)	'Scroll & Navigate' should match the text seen in the pop-up buttons on the  'Buttons' Tab in MMF.\n\n(See drag-effect.scroll-swipe)
-	21: restoring.footer	CapturedButtonsMMF3	This way you can keep using the button's usual functionality, while also assigning *additional* functions to it in Mac Mouse Fix.	So kannst du weiter wie gewohnt die Taste verwenden, aber ihr gleichzeitig *zusätzliche* Funktionen in Mac Mouse Fix zuweisen!	
+	21: restoring.footer	CapturedButtonsMMF3	This way you can keep using the button's usual functionality, while also assigning *additional* functions to it in Mac Mouse Fix.	So kannst du die übliche Funktionalität der Taste weiterhin nutzen und ihr gleichzeitig *zusätzliche* Funktionen in Mac Mouse Fix zuweisen.	
-	1: intro	CapturedScrollWheels	# {docname_captured_scroll_wheels}\n\nMac Mouse Fix **captures your mouse's scroll wheel by default**, similar to how it [captures mouse buttons](<{url}>).	# {docname_captured_scroll_wheels}\n\nMac Mouse Fix **fängt standardmäßig das Scrollrad deiner Maus ab**, ähnlich wie es [Maustasten abfängt](<{url}>).\n	
+	1: intro	CapturedScrollWheels	# {docname_captured_scroll_wheels}\n\nMac Mouse Fix **captures your mouse's scroll wheel by default**, similar to how it [captures mouse buttons](<{url}>).	# {docname_captured_scroll_wheels}\n\nMac Mouse Fix **erfasst standardmäßig das Scrollrad deiner Maus**, ähnlich wie es [Maustasten erfasst](<{url}>).	
-	2: uncapturing	CapturedScrollWheels	**To prevent scroll wheel capture:**\n\n1. Go to the 'Scrolling' tab in Mac Mouse Fix\n2. Turn off **all** options\n    - In case of the 'Speed' option, set it to 'macOS'\n    - Remove all entries under 'Keyboard Modifiers' by clicking the 'x' button next to each modifier\n\nAfter this, you should see a message indicating that the scroll wheel is no longer being captured.	**Um das Abfangen des Scrollrads zu verhindern:** \n\n1. Gehe in Mac Mouse Fix zum 'Scrollen' Tab\n2. Schalte alle Optionen aus\n    - Im Falle der 'Tempo' Option, setze sie auf 'macOS'\n    - Lösche alle Sondertasten, indem du auf den 'x' Knopf neben jeder Sondertaste klickst\n\nDanach solltest du eine Nachricht sehen, die besagt, dass das Scrollrad nun nicht länger abgefangen wird.\n	For the step-by-step instructions, make sure to mirror the strings that are seen on the 'Scrolling' Tab in Mac Mouse Fix.\n\nHow to find the strings seen on the 'Scrolling' Tab:\n\nMost strings on the 'Scrolling' Tab have a comment containing 'Scrolling >' as of September 2025.\n\nHow to find the strings used in the message 'indicating that the scroll wheel is no longer being captured':\n\nSearch for 'capture-toast.scroll.uncaptured'
+	2: uncapturing	CapturedScrollWheels	**To prevent scroll wheel capture:**\n\n1. Go to the 'Scrolling' tab in Mac Mouse Fix\n2. Turn off **all** options\n    - In case of the 'Speed' option, set it to 'macOS'\n    - Remove all entries under 'Keyboard Modifiers' by clicking the 'x' button next to each modifier\n\nAfter this, you should see a message indicating that the scroll wheel is no longer being captured.	**Um das Erfassen des Scrollrads zu verhindern:**\n\n1. Gehe zum „Scrollen"-Tab in Mac Mouse Fix\n2. Schalte **alle** Optionen aus\n    - Bei der Option „Geschwindigkeit" stelle sie auf „macOS"\n    - Entferne alle Einträge unter „Tastaturmodifikatoren", indem du auf den „x"-Button neben jedem Modifikator klickst\n\nDanach solltest du eine Meldung sehen, die anzeigt, dass das Scrollrad nicht mehr erfasst wird.	For the step-by-step instructions, make sure to mirror the strings that are seen on the 'Scrolling' Tab in Mac Mouse Fix.\n\nHow to find the strings seen on the 'Scrolling' Tab:\n\nMost strings on the 'Scrolling' Tab have a comment containing 'Scrolling >' as of September 2025.\n\nHow to find the strings used in the message 'indicating that the scroll wheel is no longer being captured':\n\nSearch for 'capture-toast.scroll.uncaptured'
-	3: uncapturing-purpose	CapturedScrollWheels	**What happens when the scroll wheel is *no longer* being captured?**\n\nMac Mouse Fix will then completely ignore your scroll wheel – it won't use any processor power or battery charge during scrolling, or interfere in any way. This gives you complete freedom to use other apps like [MOS]({url}) to handle your scroll wheel.	**Was passiert wenn das Scrollrad *nicht länger* abgefangen wird?** \n\nMac Mouse Fix ignoriert dann dein Scrollrad komplett – Es wird beim Scrollen keine Prozessorleistung oder Batterieladung mehr verwenden oder sich in irgendeiner Weise einmischen. So hast du die volle Freiheit, andere Apps wie [MOS]({url}) zu verwenden um dein Scrollrad zu handhaben.\n	
+	3: uncapturing-purpose	CapturedScrollWheels	**What happens when the scroll wheel is *no longer* being captured?**\n\nMac Mouse Fix will then completely ignore your scroll wheel – it won't use any processor power or battery charge during scrolling, or interfere in any way. This gives you complete freedom to use other apps like [MOS]({url}) to handle your scroll wheel.	**Was passiert, wenn das Scrollrad *nicht mehr* erfasst wird?**\n\nMac Mouse Fix ignoriert dann dein Scrollrad vollständig – es verbraucht keine Prozessorleistung oder Akkukapazität beim Scrollen und greift in keiner Weise ein. Das gibt dir völlige Freiheit, andere Apps wie [MOS]({url}) zum Steuern deines Scrollrads zu verwenden.	
-	4: also-see	CapturedScrollWheels	## Also see\n\n- [{docname_captured_buttons_mmf3}](<{url}>)\n\n*(Edited with excellent assistance by Claude 3.5 Sonnet)*	## Siehe auch\n\n- [{docname_captured_buttons_mmf3}](<{url}>)	
+	4: also-see	CapturedScrollWheels	## Also see\n\n- [{docname_captured_buttons_mmf3}](<{url}>)\n\n*(Edited with excellent assistance by Claude 3.5 Sonnet)*	## Siehe auch\n\n- [{docname_captured_buttons_mmf3}](<{url}>)\n\n*(Bearbeitet mit ausgezeichneter Unterstützung von Claude 3.5 Sonnet)*	
-	1: download-button	DownloadButton	Download	Laden	Label for the big 'Download' button that is displayed at the top of the page.
+	1: download-button	DownloadButton	Download	Download	Label for the big 'Download' button that is displayed at the top of the page.
-	04: trackpad.intro.body	index	That's right! Mac Mouse Fix brings all features of an Apple Trackpad - and more - to your **precise** and **ergonomic** third-party mouse. And all interactions feel just as **smooth** and **natural** as they do on a Trackpad.	So sieht’s aus! Mac Mouse Fix bringt alle Funktionen eines Apple Trackpads - und mehr - auf deine **ergonomische** und **präzise** Drittanbieter-Maus. Und alle Interaktionen fühlen sich genauso **flüssig** und **natürlich** an wie auf dem Trackpad.	Background:\nText wrapped in **asterisks** will get a cool color highlight on the page! \nWe use quite a lot of **asterisks** to make the page more colorful and visually interesting, but also to make the text easier to understand when the reader is just skimming through.
+	04: trackpad.intro.body	index	That's right! Mac Mouse Fix brings all features of an Apple Trackpad - and more - to your **precise** and **ergonomic** third-party mouse. And all interactions feel just as **smooth** and **natural** as they do on a Trackpad.	Das stimmt! Mac Mouse Fix bringt alle Funktionen eines Apple Trackpads - und mehr - auf deine **präzise** und **ergonomische** Drittanbieter-Maus. Und alle Interaktionen fühlen sich genauso **flüssig** und **natürlich** an wie auf einem Trackpad.	Background:\nText wrapped in **asterisks** will get a cool color highlight on the page! \nWe use quite a lot of **asterisks** to make the page more colorful and visually interesting, but also to make the text easier to understand when the reader is just skimming through.
-	05: trackpad.gestures.header	index	**Trackpad Gestures** that Mac Mouse Fix brings to your mouse	**Trackpad-Gesten** die Mac Mouse Fix auf deine Maus bringt	
+	05: trackpad.gestures.header	index	**Trackpad Gestures** that Mac Mouse Fix brings to your mouse	**Trackpad-Gesten**, die Mac Mouse Fix auf deine Maus bringt	
-	06: trackpad.gestures.disclaimer	index	Note: Mac Mouse Fix can bring these Trackpad features to your third-party mouse as described here, only if your mouse has at least 5 buttons. These 5 buttons are typically left-click, right-click, mouse-wheel click, and 2 side-buttons. If your mouse has fewer than 5 buttons, Mac Mouse Fix still provides rich functionality and a great experience, but some features will be less easy to access compared to a 5-button mouse. On certain mice designed to be used with proprietary driver software like Logitech Options, Mac Mouse Fix can't recognize all the buttons at the moment. Mac Mouse Fix does not currently support the Apple Magic Mouse.	Hinweis: Mac Mouse Fix kann diese Trackpad-Funktionen nur dann in der hier beschriebenen Weise auf deine Maus bringen, wenn deine Maus mindestens 5 Tasten hat. Diese 5 Tasten sind typischerweise Linksklick, Rechtsklick, Mausrad-Klick und 2 Seitentasten. Wenn deine Maus weniger als 5 Tasten hat, bietet Mac Mouse Fix immer noch viele Funktionen und ein gutes Erlebnis, aber einige Funktionen sind weniger leicht zugänglich im Vergleich zu einer 5-Tasten-Maus. Bei bestimmten Mäusen, die für die Verwendung mit hauseigenen Treibern wie Logitech Options entwickelt wurden, kann Mac Mouse Fix derzeit nicht alle Tasten erkennen. Mac Mouse Fix unterstützt die Apple Magic Mouse derzeit nicht.	
